2025-01-19 17:59:43,746 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T17:59:43.746581', 'details': {'username': 'admin'}}
2025-01-19 18:01:42,116 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:01:42.116547', 'details': {'username': 'admin'}}
2025-01-19 18:04:04,665 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:04:04.665396', 'details': {'username': 'admin'}}
2025-01-19 18:06:55,175 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:06:55.175251', 'details': {'username': 'admin'}}
2025-01-19 18:09:04,250 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:09:04.248554', 'details': {'username': 'admin'}}
2025-01-19 18:10:38,929 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:10:38.929930', 'details': {'username': 'admin'}}
2025-01-19 18:14:35,017 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:14:35.017483', 'details': {'username': 'admin'}}
2025-01-19 18:15:26,197 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:15:26.197253', 'details': {'username': 'admin'}}
2025-01-19 18:17:20,409 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:17:20.409788', 'details': {'username': 'admin'}}
2025-01-19 18:18:12,224 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:18:12.224883', 'details': {'username': 'admin'}}
2025-01-19 18:30:52,979 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:30:52.979165', 'details': {'username': 'admin'}}
2025-01-19 18:31:12,721 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:31:12.721759', 'details': {'username': 'admin'}}
2025-01-19 18:33:30,215 - library - INFO - {'action': 'login_success', 'user_id': 6, 'timestamp': '2025-01-19T18:33:30.215543', 'details': {'username': 'user'}}
2025-01-19 18:34:09,245 - library - INFO - {'action': 'demande_annulee', 'user_id': 6, 'timestamp': '2025-01-19T18:34:09.245472', 'details': {'demande_id': 15}}
2025-01-19 18:34:26,174 - library - INFO - {'action': 'logout', 'user_id': 6, 'timestamp': '2025-01-19T18:34:26.174971', 'details': {'username': 'user'}}
2025-01-19 18:34:31,400 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:34:31.399200', 'details': {'username': 'admin'}}
2025-01-19 18:36:23,162 - library - INFO - {'action': 'logout', 'user_id': 1, 'timestamp': '2025-01-19T18:36:23.162901', 'details': {'username': 'admin'}}
2025-01-19 18:39:34,944 - library - INFO - {'action': 'login_success', 'user_id': 1, 'timestamp': '2025-01-19T18:39:34.944740', 'details': {'username': 'admin'}}
